t,x1,y1,z1,x2,y2,z2,x3,y3,z3
197,26589073.287837703,762352.7359408645,0.0,-762352.7359408645,26589073.287837703,0.0,0.0,-762352.7359408645,26589073.287837703
198,26588962.082890864,766221.4788120432,0.0,-766221.4788120432,26588962.082890864,0.0,0.0,-766221.4788120432,26588962.082890864
199,26588850.315037183,770090.2054617796,0.0,-770090.2054617796,26588850.315037183,0.0,0.0,-770090.2054617796,26588850.315037183
200,26588737.98427902,773958.9158081701,0.0,-773958.9158081701,26588737.98427902,0.0,0.0,-773958.9158081701,26588737.98427902
201,26588625.090618763,777827.6097693114,0.0,-777827.6097693114,26588625.090618763,0.0,0.0,-777827.6097693114,26588625.090618763
202,26588511.634058796,781696.2872633005,0.0,-781696.2872633005,26588511.634058796,0.0,0.0,-781696.2872633005,26588511.634058796
203,26588397.61460152,785564.9482082347,0.0,-785564.9482082347,26588397.61460152,0.0,0.0,-785564.9482082347,26588397.61460152
204,26588283.03224935,789433.592522212,0.0,-789433.592522212,26588283.03224935,0.0,0.0,-789433.592522212,26588283.03224935
205,26588167.88700471,793302.2201233304,0.0,-793302.2201233304,26588167.88700471,0.0,0.0,-793302.2201233304,26588167.88700471
206,26588052.17887004,797170.8309296883,0.0,-797170.8309296883,26588052.17887004,0.0,0.0,-797170.8309296883,26588052.17887004
207,26587935.907847792,801039.4248593845,0.0,-801039.4248593845,26587935.907847792,0.0,0.0,-801039.4248593845,26587935.907847792
208,26587819.073940426,804908.0018305184,0.0,-804908.0018305184,26587819.073940426,0.0,0.0,-804908.0018305184,26587819.073940426
209,26587701.677150413,808776.5617611893,0.0,-808776.5617611893,26587701.677150413,0.0,0.0,-808776.5617611893,26587701.677150413
210,26587583.71748024,812645.104569497,0.0,-812645.104569497,26587583.71748024,0.0,0.0,-812645.104569497,26587583.71748024
211,26587465.1949324,816513.6301735421,0.0,-816513.6301735421,26587465.1949324,0.0,0.0,-816513.6301735421,26587465.1949324
212,26587346.109509412,820382.138491425,0.0,-820382.138491425,26587346.109509412,0.0,0.0,-820382.138491425,26587346.109509412
213,26587226.46121379,824250.6294412466,0.0,-824250.6294412466,26587226.46121379,0.0,0.0,-824250.6294412466,26587226.46121379
214,26587106.250048067,828119.1029411085,0.0,-828119.1029411085,26587106.250048067,0.0,0.0,-828119.1029411085,26587106.250048067
215,26586985.476014793,831987.5589091122,0.0,-831987.5589091122,26586985.476014793,0.0,0.0,-831987.5589091122,26586985.476014793
216,26586864.13911652,835855.99726336,0.0,-835855.99726336,26586864.13911652,0.0,0.0,-835855.99726336,26586864.13911652
